Empresa,Puesto,Ciudad,Fecha,Habilidades
Cargo Profesional De Apoyo En,Cargo Profesional de Apoyo en el CICYTTP Diamante,Diamante,7 de marzo de 2022,"informática (Técnica), software (Técnica), bases de datos (Técnica), sql (Técnica), c (Técnica), manejo de equipos (Técnica), experiencia (Blanda), comunicación (Blanda)"
Asesor Técnico De Producto En,Asesor técnico de producto en mercado,Córdoba,No especificada,"c (Técnica), técnico (Técnica), herramientas de electrónica (Técnica), planos esquemáticos (Técnica), manejo de técnicas estadísticas (Técnica), experiencia (Blanda), comunicación (Blanda)"
Bioingeniera,Bioingeniera/o para el Hospital Masvernat de Concordia,Concordia,No especificada,"c (Técnica), bioingeniero (Técnica), técnico (Técnica), ingeniero (Técnica), experiencia (Blanda), comunicación (Blanda)"
Bioingenieros,Bioingenieros/as para mantenimiento equipos de estética,No especificada,No especificada,"c (Técnica), bioingeniero (Técnica), ingeniero (Técnica), reparación de equipos (Técnica), experiencia en reparación de equipos (Técnica), experiencia (Blanda), comunicación (Blanda), disponibilidad para viajar (Blanda)"
Bioingenieros,Bioingenieros/as para especialista de producto,No especificada,No especificada,"c (Técnica), bioingeniero (Técnica), técnico (Técnica), ingeniero (Técnica), experiencia (Blanda), comunicación (Blanda)"
Consultor Senior De Implementaciones Emr,Consultor Senior de Implementaciones EMR,Buenos Aires,No especificada,"software (Técnica), c (Técnica), técnico (Técnica), ingeniero (Técnica), experiencia (Blanda), comunicación (Blanda), trabajo en equipo (Blanda), disponibilidad para viajar (Blanda)"
Bioingenieras,Bioingenieras/os para mantenimiento de equipos de uso hospitalario,No especificada,No especificada,"c (Técnica), bioingeniero (Técnica), ingeniero (Técnica), reparación de equipos (Técnica), experiencia (Blanda), comunicación (Blanda), disponibilidad para viajar (Blanda)"
Especialistas En Equipamiento Médico De,Especialistas en equipamiento médico de radioterapia para área clínica y comercial,Bolivia,No especificada,"c (Técnica), bioingeniero (Técnica), técnico (Técnica), ingeniero (Técnica), experiencia (Blanda), comunicación (Blanda), orientación a resultados (Blanda), disponibilidad para viajar (Blanda)"
Ejecutivo,Ejecutivo/a de ventas – Tecnología médica,CABA,No especificada,"c (Técnica), técnico (Técnica), experiencia (Blanda), comunicación (Blanda), disponibilidad para viajar (Blanda)"
Mantenimiento De Equipos De Laboratorio,Mantenimiento de equipos de laboratorio,CABA,No especificada,"c (Técnica), técnico (Técnica), ingeniero (Técnica), experiencia (Blanda), comunicación (Blanda)"
Junior Para Tareas De Apoyo,Junior para Tareas de Apoyo en asuntos regulatorios.,CABA,No especificada,"c (Técnica), comunicación (Blanda)"
Puesto Técnico En Electromedicina. Aler,Puesto Técnico en Electromedicina.,CABA,No especificada,"c (Técnica), técnico (Técnica), experiencia (Blanda), comunicación (Blanda), disponibilidad para viajar (Blanda)"
Aplicacionista Clínica,Aplicacionista Clínica/o para empresa de equipamiento médico.,No especificada,No especificada,"c (Técnica), técnico (Técnica), comunicación (Blanda), disponibilidad para viajar (Blanda)"
Bioingeniero,Bioingeniero/a para coordinar el Equipo de Ventas.,Mar del Plata,No especificada,"c (Técnica), bioingeniero (Técnica), ingeniero (Técnica), experiencia (Blanda), comunicación (Blanda)"
Especialista En Asuntos Regulatorios La,Especialista en Asuntos Regulatorios,CABA,No especificada,"c (Técnica), comunicación (Blanda)"
Bioingenieras,Bioingenieras/os para mantenimiento de equipos de uso hospitalario,No especificada,No especificada,"c (Técnica), bioingeniero (Técnica), ingeniero (Técnica), reparación de equipos (Técnica), experiencia (Blanda), comunicación (Blanda), disponibilidad para viajar (Blanda)"
Bioingenieros,Bioingenieros/as para mantenimiento equipos de estética,No especificada,No especificada,"c (Técnica), bioingeniero (Técnica), ingeniero (Técnica), reparación de equipos (Técnica), experiencia en reparación de equipos (Técnica), experiencia (Blanda), comunicación (Blanda), disponibilidad para viajar (Blanda)"
Bioingeniero,Bioingeniero/a para el puesto de Ejecutivo Comercial en Rosario,Rosario,No especificada,"software (Técnica), bases de datos (Técnica), c (Técnica), bioingeniero (Técnica), ingeniero (Técnica), experiencia (Blanda), comunicación (Blanda)"
Analista Jr. De Asuntos Regulatorios,Analista Jr. de Asuntos Regulatorios,Buenos Aires,No especificada,"c (Técnica), analista (Técnica), comunicación (Blanda)"
Especialista De Servicio Técnico Empresa,Especialista de Servicio Técnico,No especificada,No especificada,"informática (Técnica), c (Técnica), técnico (Técnica), herramientas informáticas (Técnica), redes (Técnica), experiencia (Blanda), comunicación (Blanda)"
Especialista En Soporte Técnico Para,Especialista en soporte técnico para Latinoamérica,CABA,No especificada,"software (Técnica), c (Técnica), técnico (Técnica), comunicación (Blanda)"
Especialista Clínico En Productos Crm,Especialista Clínico en productos CRM,No especificada,No especificada,"c (Técnica), bioingeniero (Técnica), ingeniero (Técnica), comunicación (Blanda)"
Ingeniero,Ingeniero/a de Campo,No especificada,No especificada,"c (Técnica), ingeniero (Técnica), redes (Técnica), comunicación (Blanda)"
Soporte Técnico Equipamiento Médico Empresa,Soporte Técnico Equipamiento Médico,Buenos Aires,No especificada,"c (Técnica), técnico (Técnica), experiencia (Blanda), comunicación (Blanda)"
Consultoría Sobre Plataforma Para La,Consultoría sobre plataforma para la transformación digital del ámbito hospitalario.,CABA,No especificada,"software (Técnica), c (Técnica), bioingeniero (Técnica), técnico (Técnica), ingeniero (Técnica), experiencia (Blanda), comunicación (Blanda), disponibilidad para viajar (Blanda)"
Aplicacionista Clínica,Aplicacionista Clínica/o para empresa de equipamiento médico.,No especificada,No especificada,"c (Técnica), técnico (Técnica), comunicación (Blanda), disponibilidad para viajar (Blanda)"
Bioingeniera,Bioingeniera/o para servicio técnico,No especificada,No especificada,"c (Técnica), bioingeniero (Técnica), técnico (Técnica), ingeniero (Técnica), experiencia (Blanda), comunicación (Blanda)"
Bioingeniero,Bioingeniero/a para Asesor Comercial,Buenos Aires,No especificada,"c (Técnica), bioingeniero (Técnica), ingeniero (Técnica), experiencia (Blanda), comunicación (Blanda), trabajo en equipo (Blanda), perfil comercial (Blanda)"
Bioingeniero,Bioingeniero/a para el Ministerio de Salud GCBA,Buenos Aires,No especificada,"informática (Técnica), c (Técnica), bioingeniero (Técnica), técnico (Técnica), ingeniero (Técnica), experiencia (Blanda), comunicación (Blanda)"
Regulatory Affairs Specialist At Johnson,Regulatory Affairs Specialist,No especificada,No especificada,"c (Técnica), comunicación (Blanda)"
Ejecutivo,Ejecutivo/a de ventas Junior para región AMBA,AMBA,No especificada,"c (Técnica), bioingeniero (Técnica), ingeniero (Técnica), experiencia (Blanda), comunicación (Blanda)"
Bioingeniero,Bioingeniero/a para desempeñarse en región de Cuyo,No especificada,No especificada,"c (Técnica), bioingeniero (Técnica), ingeniero (Técnica), experiencia (Blanda), comunicación (Blanda)"
Mantenimiento De Equipos De Imágenes,Mantenimiento de equipos de imágenes en medicina,No especificada,No especificada,"c (Técnica), bioingeniero (Técnica), ingeniero (Técnica), reparación de equipos (Técnica), experiencia (Blanda), comunicación (Blanda), disponibilidad para viajar (Blanda)"
Bioinformaticos,Bioinformaticos/as para aceleradora de proyectos biotecnológicos,Rosario,No especificada,"informática (Técnica), programación (Técnica), python (Técnica), c (Técnica), bioinformático (Técnica), experiencia (Blanda), comunicación (Blanda)"
Especialista De Aplicación Para Empresa,Especialista de Aplicación para empresa de Ecógrafos,No especificada,No especificada,"c (Técnica), experiencia (Blanda), comunicación (Blanda), disponibilidad horaria (Blanda), disponibilidad para viajar (Blanda)"
Bioingeniero,Bioingeniero/a para ejecución proyecto de Reequipamiento de Hospitales Publicos.,Córdoba,No especificada,"c (Técnica), bioingeniero (Técnica), ingeniero (Técnica), autocad (Técnica), experiencia (Blanda), comunicación (Blanda)"
Ingeniero De Servicio Para Empresa,Ingeniero de Servicio para empresa de Biotecnología,CABA,No especificada,"programación (Técnica), c (Técnica), técnico (Técnica), ingeniero (Técnica), experiencia (Blanda), comunicación (Blanda), proactividad (Blanda), orientación al cliente (Blanda), disponibilidad para viajar (Blanda)"
Ingeniero,Ingeniero/a de campo para empresa de Diagnóstico por Imagen,CABA,No especificada,"c (Técnica), técnico (Técnica), ingeniero (Técnica), comunicación (Blanda)"
Bioingeniera,Bioingeniera/os para el Ministerio de Salud del Gobierno de la Ciudad Autónoma de Buenos Aires,Buenos Aires,No especificada,"c (Técnica), bioingeniero (Técnica), ingeniero (Técnica), comunicación (Blanda)"
Profesional Jr. En Asuntos Regulatorios,Profesional Jr. en Asuntos Regulatorios y Calidad de Dispositivos Médicos,Chile,No especificada,"c (Técnica), bioingeniero (Técnica), ingeniero (Técnica), experiencia (Blanda), comunicación (Blanda)"
Responsable De Calidad Y Asuntos,Responsable de Calidad y Asuntos Regulatorios en Córdoba,Córdoba,No especificada,"c (Técnica), experiencia (Blanda), comunicación (Blanda)"
